reviews,appVersion,at,label
no puedo descargar,1.1.0,2022-03-04 17:19:27,Negativo
uso tiempo trabajosiempre falla bien lento ocasiona problemas debo recurriendo aplicativos solucionar pagos ojala mejore pronto bien cliente,1.14.23,2021-03-02 15:09:31,Negativo
ayer no puedo apearle nadie configurado dni sale limite 0 soles ahora no puedo recuperar plata ahi asco aplicacion,1.60.3,2021-02-17 00:27:56,Negativo
aparece mensaje actualice voy actuar dice abra no actualizacion,1.60.5,2021-10-20 19:09:24,Negativo
no puede abrir iphone 6,1.72.0,2022-08-01 03:40:39,Negativo
mando actualizar ahora no puedo usarla dice no puede instalar espacio voy dos dias mismo tema frustracion,1.74.1,2021-06-25 14:41:12,Negativo
mala no puedo ejecutarlo dispositivos permisos administracion asco,1.74.1,2021-02-17 22:39:00,Negativo
sale no cuenta si,1.74.1,2021-06-24 02:28:15,Negativo
insatisfecha tenia instalado pidio actualizacionindicaba no tenia espacio elimine archivosno suficiente aun siendo mas pesa app opte volver instalarlasolicito mas espacio asi eliminar mas pidio aun asi no pudo instalar,1.74.1,2021-02-18 00:17:08,Negativo
lamentable no deje agregar tarjetas mastercard opinion neutra aplicacion llave,1.74.1,2021-09-17 13:41:13,Negativo
intente actualizar solo llego 5 luego desinstale descargar cero solo llega 44 no descarga instalo aplicacion si instala no entiendo,1.75.10,2023-05-21 04:41:23,Negativo
cambie numero no posible desafilarse actualizar datos no canal atencion directa pesimo pasa si no facebook nunca podre desafilarme hice mas 3 oportunidades web llave llenando formulario,1.75.10,2022-02-07 02:16:46,Negativo
no permite actualizar no datos ni espacio desinstale no permite instalarlopues unico aparece pendiente queda asi eternidad,1.75.19,2021-10-25 11:25:45,Negativo
peor puede existir,1.76.03,2023-02-13 01:12:43,Negativo
desinstalo sale error no puedo ni tarjeta ni foto facial ayudeme,1.76.03,2022-05-19 14:00:39,Negativo
encanta usar app todas compras lamentablemente no opcion pagar linea codigono podido actualizarla hace meses da error cada vez intento,1.76.03,2023-03-07 02:09:55,Negativo
no puede actualizar pesimo app,1.76.03,2022-06-05 20:17:22,Negativo
demora demasiado instalar actualizacion,1.76.03,2022-02-27 18:46:12,Negativo
mal tenia llave empezo salir error sistema no podia mapear nadie contacte asesor mensaje sugirio desafilarme volver afiliarme cosa hacerlo no permitia entrar ahi sugiere cree cuenta pensando seria igual anterior hago resulta hizo dni no tarjeta descontento triste conclusion quede sinnueva cuenta igual desafilar no aparecia tenia cuenta frustradono puedo avanzar aplicacion frustradono puedo avanzar aplicacion,1.76.03,2021-12-29 21:39:07,Negativo
volvi instalar app ingrese datos tarjetasin embargoaumentar limite depositos validar datos incrementar no permite queda cargando,1.86,2020-12-02 22:39:35,Negativo
demora demasiado cargar pesima aplicacion,1.86,2022-06-07 02:43:33,Negativo
no puedo ingresar,1.86,2021-01-31 22:34:32,Negativo
tontera quiero crear cuenta no llega mensaje doy llamen digan codigo no dicen,1.86,2021-06-02 14:33:13,Negativo
no puede descargar mal,1.86,2021-02-06 19:12:58,Negativo
no puedo abrir,1.86,2021-11-02 18:13:27,Negativo
aplicacion va año problema ahora dice aplicacion no puede ser usada dispositivo privilegios administrador alguien podido solucionar,1.86,2021-02-05 23:08:01,Negativo
buena appsi wifi lento nunca abrira,1.86,2022-03-29 04:54:59,Negativo
no puedo instalar app sale seguridad no puede instalar dispositivos privilegios administrador no entiendo puedo hacer,1.86,2022-07-31 22:47:15,Negativo
app mod no sirve solo sale error error,1.86,2022-01-31 21:41:18,Negativo
demora actualizar,1.86,2021-06-26 23:19:22,Negativo
no puedo actualizar app wifi solo sale cargando usando tranquila app pide actualizar ahora no puedo ni ingresar mapear,1.86,2022-03-05 05:21:03,Negativo
problemas instalar llave carga 100no instala suficiente espacio hacer solucionar instalar xcv pueden darme solucionarais estare espera respuesta,1.86,2023-02-13 02:43:48,Negativo
hola no podido actualizar aplicacion desinstalar ahora volver instalar fastidioso pierde tiempo aplicacion buenaactualizaciones seguidas no veo cambios significativos justifique,1.87.04,2022-06-03 20:00:42,Negativo
